id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
1,2,處女座,Apple,154.0,43.0,,,583.0,0,Beautiful
2,2,處女座,Apple,156.0,47.0,,130.0,,3.5,Enjoying being who I'm notsss
3,1,射手座,,170.0,61.0,,90.0,540.0,,Practice Makes perfect
4,1,射手座,Apple,170.0,62.0,4.0,100.0,,5,Straightforward
5,2,射手座,Android,158.0,67.0,,128.0,320.0,1.2,Humorous
6,2,,,,,3.0,100.0,903.0,2,I am cute
7,1,,Android,,50.0,4.0,115.0,209.0,9.59,
8,2,雙子座,Android,170.0,57.0,4.0,100.0,1200.0,,Um..Haha
9,2,射手座,Android,168.0,,2.0,,580.0,5.34,I am quite.
10,2,牡羊座,Apple,165.0,55.0,5.0,130.0,,2,Beautiful
11,2,天秤座,,164.0,,3.0,180.0,300.0,1,Beautiful and smart
12,2,處女座,Android,168.0,55.0,2.0,,300.0,,Beautiful and smart
13,2,雙魚座,Apple,,60.0,,200.0,160.0,64,Brilliant
14,1,水瓶座,Android,,53.0,4.0,,300.0,2.5,Work hard play hard
15,2,雙子座,Apple,163.0,52.0,5.0,98.0,,2,Q
16,2,,Apple,154.0,43.0,,,583.0,0,Beautiful
17,2,處女座,Apple,156.0,47.0,,130.0,400.0,3.5,Enjoying being who I'm not
18,1,射手座,,170.0,61.0,3.0,90.0,540.0,5,
19,1,射手座,Apple,170.0,62.0,4.0,100.0,173.0,5,Straightforward
20,2,,Android,158.0,67.0,3.0,128.0,320.0,1.2,
21,2,摩羯座,Android,,50.0,3.0,,903.0,2,I am cute
22,1,天秤座,Android,165.0,50.0,4.0,115.0,209.0,9.59,Homo sapiens
23,2,雙子座,Android,170.0,57.0,,,,,
24,2,射手座,Android,168.0,,2.0,,580.0,,I am quite.
25,2,牡羊座,Apple,165.0,,5.0,130.0,542.0,,Beautiful
26,2,,Android,164.0,52.0,3.0,180.0,300.0,1,Beautiful and smart
27,2,處女座,Android,168.0,55.0,2.0,180.0,300.0,,
28,2,雙魚座,,,60.0,3.0,200.0,160.0,64,Brilliant
29,1,水瓶座,Android,168.0,53.0,,100.0,300.0,2.5,Work hard play hard
30,2,雙子座,Apple,163.0,52.0,5.0,,1200.0,,Q
31,1,金牛座,Android,175.0,75.0,5.0,50.0,200.0,1,I am so handsome
32,1,射手座,Android,169.0,75.0,1.0,,0.0,41,I just wanna run.
33,1,射手座,,169.0,75.0,,90.0,0.0,41,I just wanna run.
34,1,摩羯座,Android,,60.0,,,404.0,0.37,Surprising
35,1,摩羯座,Apple,,55.0,,199.0,611.0,0,
36,1,摩羯座,Apple,162.0,43.0,5.0,180.0,6666.0,87,handsome
37,1,摩羯座,Apple,100.0,180.0,5.0,100.0,50.0,,Fake
38,1,,Android,175.0,,5.0,,9487.0,87,I am fine thank u
39,2,,,,48.0,2.0,,,4,tired
40,2,水瓶座,Apple,163.0,48.0,2.0,,250.0,4,tired
41,1,水瓶座,Android,165.0,,2.0,105.0,800.0,3,
42,1,,Android,169.0,73.0,5.0,105.0,67.0,1.7,Lazy
43,1,巨蟹座,Apple,175.0,80.0,4.0,120.0,500.0,0.187,
44,1,,Apple,175.0,50.0,5.0,100.0,469.0,10,I am fakes' fans
45,1,,Apple,173.0,74.0,1.0,180.0,600.0,5,Hi
46,1,天秤座,Android,167.0,48.0,,51.0,638.0,1,Go big or go home
47,1,牡羊座,Apple,172.0,60.0,2.0,150.0,500.0,20,
48,1,,Android,172.0,80.0,3.0,120.0,50.0,0,interesting
49,1,天秤座,Android,172.0,58.0,,200.0,,200,Boring
50,1,雙魚座,Apple,170.0,70.0,1.0,,1700.0,,Karma
51,1,水瓶座,,174.0,65.0,2.0,87.0,399.0,,handsome
52,1,,Android,172.0,62.0,5.0,99.0,300.0,0.1,Good
